,location,district,rooms,size,level,max_levels,price,income_cat,price_cat
5386,"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Учтепинский,3,70.0,5,5,44000,2,2
5387,"город Ташкент, Чиланзарский район, Гулистан",Чиланзарский,3,70.0,4,4,40000,2,2
5388,"город Ташкент, Чиланзарский район, Гулистан",Чиланзарский,5,110.0,3,5,78000,3,3
5389,"город Ташкент, Чиланзарский район, проспект Бунёдкор",Чиланзарский,4,146.0,3,9,67000,3,3
5390,"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,2,49.0,1,3,58500,3,3
5391,"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,4,111.0,7,9,67000,3,3
5392,"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Учтепинский,4,84.0,5,5,57000,3,3
5393,"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Учтепинский,4,84.0,3,5,53500,3,3
5394,"город Ташкент, Сергелийский район, Сергели-VII",Сергелийский,3,58.0,5,7,42000,2,2
5395,"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,3,68.0,4,4,45000,2,2
5396,"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Учтепинский,1,42.0,1,4,25990,1,1
5397,"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,3,68.0,3,4,50000,2,2
5398,"город Ташкент, Шайхантахурский район, Караташ",Шайхантахурский,2,60.0,2,9,55000,3,3
5399,"город Ташкент, Чиланзарский район, Чиланзар квартал 20А",Чиланзарский,1,37.0,3,4,26000,1,1
5400,"город Ташкент, Учтепинский район, Чиланзар 12-й квартал",Учтепинский,3,65.0,1,4,44000,2,2
5401,"город Ташкент, Чиланзарский район, 1-й проезд Лутфи",Чиланзарский,2,60.0,7,9,44800,2,2
5402,"город Ташкент, Учтепинский район, Чиланзар 12-й квартал",Учтепинский,2,47.0,4,4,35500,2,2
5403,"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,1,45.0,6,8,41000,2,2
5404,"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,5,130.0,3,5,77000,3,3
5405,"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,2,45.0,5,5,30500,2,2
5406,"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Учтепинский,4,100.0,1,9,88000,4,4
5407,"город Ташкент, Учтепинский район, Кухна-Чупонота массив Чиланзар 13-й квартал",Учтепинский,3,80.0,4,5,72000,3,3
5408,"город Ташкент, Учтепинский район, Такачи",Учтепинский,1,45.0,3,5,25000,1,1
5409,"город Ташкент, Шайхантахурский район, Бирлик",Шайхантахурский,4,98.0,1,9,97000,4,4
5410,"город Ташкент, Шайхантахурский район, Богкуча",Шайхантахурский,4,128.0,4,5,140000,4,4
5411,"город Ташкент, Учтепинский район, Чиланзар 30-й квартал",Учтепинский,3,70.0,4,4,45000,2,2
5412,"город Ташкент, Учтепинский район, Чиланзар 30-й квартал",Учтепинский,3,78.0,2,4,48000,2,2
5413,"город Ташкент, Чиланзарский район, Сугалли-ота",Чиланзарский,3,70.0,5,5,50000,2,2
5414,"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Учтепинский,2,42.0,3,5,32500,2,2
5415,"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Учтепинский,2,42.0,3,5,28000,1,1
5416,"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,2,62.0,8,9,36000,2,2
5417,"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Чиланзарский,2,58.0,3,9,42000,2,2
