,location,district,rooms,size,level,max_levels,price,income_cat,price_cat
0,"город Ташкент, Юнусабадский район, Юнусабад 8-й квартал",Юнусабадский,3,57.0,4,4,52000,3,3
1,"город Ташкент, Яккасарайский район, 1-й тупик Шота Руставели",Яккасарайский,2,52.0,4,5,56000,3,3
2,"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,2,42.0,4,4,37000,2,2
3,"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,3,65.0,1,4,49500,2,2
4,"город Ташкент, Чиланзарский район, площадь Актепа",Чиланзарский,3,70.0,3,5,55000,3,3
5,"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Чиланзарский,1,28.0,1,4,25500,1,1
6,"город Ташкент, Чиланзарский район, Чиланзар-16",Чиланзарский,1,30.0,2,4,21200,1,1
7,"город Ташкент, Яккасарайский район, Саламатина",Яккасарайский,2,32.0,5,5,20000,1,1
8,"город Ташкент, Учтепинский район, Чиланзар-21",Учтепинский,2,51.0,3,4,26200,1,1
9,"город Ташкент, Чиланзарский район, Чиланзар-8",Чиланзарский,1,30.0,1,4,22200,1,1
10,"город Ташкент, Учтепинский район, Чиланзар-14",Учтепинский,2,30.0,2,5,24200,1,1
11,"город Ташкент, Чиланзарский район, Чиланзар-20",Чиланзарский,3,67.0,2,5,30200,2,2
12,"город Ташкент, Чиланзарский район, Чиланзар-17",Чиланзарский,1,30.0,2,4,21200,1,1
14,"город Ташкент, Чиланзарский район, Чиланзар-19",Чиланзарский,1,30.0,2,4,21200,1,1
15,"город Ташкент, Чиланзарский район, Чиланзар-19",Чиланзарский,1,35.0,1,5,22500,1,1
16,"город Ташкент, Чиланзарский район, Г9а",Чиланзарский,1,43.0,4,4,22500,1,1
17,"город Ташкент, Чиланзарский район, Чиланзар-7",Чиланзарский,2,51.0,2,4,21200,1,1
18,"город Ташкент, Мирзо-Улугбекский район, Феруза",Мирзо-Улугбекский,3,65.0,1,4,32500,2,2
19,"город Ташкент, Чиланзарский район, Чиланзар-17",Чиланзарский,2,51.0,2,4,22200,1,1
20,"город Ташкент, Чиланзарский район, Чиланзар-9",Чиланзарский,2,51.0,2,4,24200,1,1
21,"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,4,90.0,5,5,45000,2,2
22,"город Ташкент, Чиланзарский район, 1-й проезд Заргарлик",Чиланзарский,4,80.0,3,4,56000,3,3
23,"город Ташкент, Яшнободский район, Садыка Азимова (Жуковского) ",Яшнободский,2,70.0,5,5,47000,2,2
24,"город Ташкент, Мирзо-Улугбекский район, ТТЗ-4",Мирзо-Улугбекский,3,69.0,1,4,49900,2,2
25,"город Ташкент, Мирабадский район, Афросиёб",Мирабадский,3,80.0,2,4,76000,3,3
26,"город Ташкент, Учтепинский район, Чиланзар 13-й квартал махалля Кухна-Чупонота",Учтепинский,3,96.0,3,4,65000,3,3
27,"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,4,76.0,4,4,47500,2,2
28,"город Ташкент, Учтепинский район, Чиланзар 13-й квартал",Учтепинский,2,45.0,4,5,30000,1,1
29,"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",Чиланзарский,1,27.0,3,4,32000,2,2
30,"город Ташкент, Учтепинский район, Чиланзар 30-й квартал",Учтепинский,2,65.0,3,9,44000,2,2
31,"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,2,64.0,3,4,56500,3,3
32,"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,1,42.0,5,9,35000,2,2
33,"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,1,26.0,2,4,23500,1,1
34,"город Ташкент, Учтепинский район, Чиланзар 26-й квартал",Учтепинский,4,76.0,5,5,60500,3,3
35,"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,3,80.0,2,4,68000,3,3
36,"город Ташкент, Чиланзарский район, 1-й проезд Лутфи",Чиланзарский,3,72.0,5,5,41500,2,2
37,"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,4,100.0,3,12,55000,3,3
38,"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,3,65.0,4,4,44000,2,2
39,"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,4,80.0,3,4,52500,3,3
40,"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,3,72.0,6,9,43000,2,2
41,"город Ташкент, Мирабадский район, Тараса Шевченко",Мирабадский,2,65.0,1,4,80000,3,3
42,"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,2,63.0,1,5,42000,2,2
43,"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,2,48.0,5,9,23000,1,1
44,"город Ташкент, Юнусабадский район, Юнусабад 18-й квартал",Юнусабадский,3,70.0,3,4,47000,2,2
45,"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,3,102.0,7,12,88784,4,4
46,"город Ташкент, Учтепинский район, Гулистон",Учтепинский,4,78.0,2,4,65000,3,3
47,"город Ташкент, Чиланзарский район, Чиланзар квартал И",Чиланзарский,4,100.0,1,4,97000,4,4
48,"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,1,34.0,1,4,28500,1,1
49,"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,2,42.0,2,4,34500,2,2
50,"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Учтепинский,4,80.0,4,5,51000,3,3
51,"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,3,90.0,1,12,51000,3,3
52,"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,2,45.0,2,4,48000,2,2
53,"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,3,70.0,5,5,40000,2,2
54,"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,4,96.0,7,9,67000,3,3
55,"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Учтепинский,4,80.0,4,5,68000,3,3
56,"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,2,63.0,1,4,40500,2,2
57,"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Учтепинский,2,56.0,4,5,54000,3,3
58,"город Ташкент, Учтепинский район, Чиланзар 22-й квартал",Учтепинский,2,52.0,1,4,36000,2,2
59,"город Ташкент, Учтепинский район, Чиланзар 12-й квартал",Учтепинский,3,98.0,2,4,68000,3,3
60,"город Ташкент, Чиланзарский район, Бешёгоч",Чиланзарский,3,96.0,9,9,63000,3,3
61,"город Ташкент, Шайхантахурский район, Актепа",Шайхантахурский,4,93.0,4,4,63500,3,3
62,"город Ташкент, Шайхантахурский район, Международный деловой центр Tashkent City",Шайхантахурский,2,60.0,9,9,49500,2,2
63,"город Ташкент, Чиланзарский район, Чиланзарский район массив Аль-Хорезми-2",Чиланзарский,5,82.0,4,4,70000,3,3
64,"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Учтепинский,5,120.0,9,9,52000,3,3
65,"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Учтепинский,4,110.0,3,3,91000,4,4
66,"город Ташкент, Чиланзарский район, Чиланзар 1-й квартал",Чиланзарский,4,95.0,2,4,83000,4,4
67,"город Ташкент, Учтепинский район, 4-й проезд Курувчи",Учтепинский,2,56.0,1,4,40500,2,2
68,"город Ташкент, Чиланзарский район, Мукими",Чиланзарский,3,68.0,3,4,48000,2,2
69,"город Ташкент, Олмазорский район, Себзар",Олмазорский,2,57.0,3,4,42000,2,2
70,"город Ташкент, Яшнободский район, Жаркургон",Яшнободский,1,46.0,11,11,19765,1,1
71,"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,2,45.0,4,4,34500,2,2
72,"город Ташкент, Юнусабадский район, Юнусабад 10-й квартал",Юнусабадский,2,40.0,1,9,40000,2,2
73,"город Ташкент, Мирзо-Улугбекский район, Хумаюн",Мирзо-Улугбекский,3,95.0,5,5,50000,2,2
74,"город Ташкент, Юнусабадский район, Кашгар",Юнусабадский,2,53.0,1,9,68000,3,3
75,"город Ташкент, Олмазорский район, Карасарайская",Олмазорский,2,72.0,4,9,41500,2,2
76,"город Ташкент, Мирзо-Улугбекский район, Буз-1 (Буз базар) ",Мирзо-Улугбекский,3,65.0,4,5,41500,2,2
77,"город Ташкент, Юнусабадский район, ц-4 Кашгар (Ц-4) ",Юнусабадский,4,82.0,1,4,86000,4,4
78,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,42.0,3,9,25500,1,1
79,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,54.0,4,4,31500,2,2
80,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,42.0,1,4,26500,1,1
81,"город Ташкент, Учтепинский район, Гулистон",Учтепинский,1,20.0,3,9,14500,1,1
82,"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Чиланзарский,2,45.0,4,4,45000,2,2
83,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,46.0,2,5,30000,1,1
84,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,50.0,2,4,34500,2,2
85,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,36.0,2,4,27000,1,1
86,"город Ташкент, Учтепинский район, Чиланзар 12-й квартал",Учтепинский,4,80.0,6,9,59500,3,3
87,"город Ташкент, Учтепинский район, Кизил Шарк",Учтепинский,3,72.0,3,9,48000,2,2
88,"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Учтепинский,4,78.0,5,5,47299,2,2
89,"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,2,46.0,4,5,37000,2,2
90,"город Ташкент, Чиланзарский район, Чиланзар-8",Чиланзарский,2,60.0,2,4,38000,2,2
91,"город Ташкент, Олмазорский район, 15-й проезд Сагбан",Олмазорский,2,58.0,5,9,29500,1,1
92,"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,2,70.0,2,7,56000,3,3
93,"город Ташкент, Яккасарайский район, 1-й проезд Мукими",Яккасарайский,2,68.0,6,9,45000,2,2
94,"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,4,100.0,3,5,61500,3,3
95,"город Ташкент, Чиланзарский район, Мукими",Чиланзарский,3,68.0,5,5,46500,2,2
96,"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,3,70.0,4,12,51000,3,3
97,"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,3,90.0,5,9,58400,3,3
98,"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,3,60.0,5,5,47000,2,2
99,"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,4,80.0,5,5,52500,3,3
100,"город Ташкент, Учтепинский район, Гулистон",Учтепинский,3,74.0,3,5,50000,2,2
101,"город Ташкент, Чиланзарский район, Чиланзар 1-й квартал",Чиланзарский,2,48.0,2,5,41500,2,2
102,"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,4,94.0,9,9,45000,2,2
103,"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,3,65.0,4,9,47500,2,2
104,"город Ташкент, Чиланзарский район, Наккашлык",Чиланзарский,4,85.0,3,4,52500,3,3
105,"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,1,42.0,5,5,26000,1,1
106,"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,4,110.0,3,4,105000,4,4
107,"город Ташкент, Учтепинский район, Чиланзар квартал Г9А",Учтепинский,3,70.0,4,4,42000,2,2
108,"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,3,68.0,2,5,53500,3,3
110,"город Ташкент, Яшнободский район, Ташсельмаш",Яшнободский,1,20.0,3,3,12500,1,1
111,"город Ташкент, Мирабадский район, Тараса Шевченко",Мирабадский,3,110.0,4,7,107000,4,4
112,"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,2,46.0,3,4,35000,2,2
113,"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,4,125.0,5,5,70000,3,3
114,"город Ташкент, Мирзо-Улугбекский район, площадь Хамида Алимджана",Мирзо-Улугбекский,2,72.0,18,19,55000,3,3
115,"город Ташкент, Мирзо-Улугбекский район, Алтынтепа",Мирзо-Улугбекский,2,64.67,7,9,39414,2,2
116,"город Ташкент, Юнусабадский район, Чинабад",Юнусабадский,2,70.0,4,9,60000,3,3
117,"город Ташкент, Юнусабадский район, Киёт",Юнусабадский,1,50.0,7,9,37000,2,2
118,"город Ташкент, Мирзо-Улугбекский район, Буз-2 (Буз) ",Мирзо-Улугбекский,2,51.0,2,4,49000,2,2
119,"город Ташкент, Мирзо-Улугбекский район, Феруза",Мирзо-Улугбекский,1,22.0,1,2,18000,1,1
120,"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",Чиланзарский,2,54.0,1,4,42500,2,2
121,"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",Чиланзарский,1,30.0,3,5,34500,2,2
122,"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,1,42.0,5,9,37000,2,2
123,"город Ташкент, Яккасарайский район, Тафаккур",Яккасарайский,3,70.0,2,4,70000,3,3
124,"город Ташкент, Шайхантахурский район, Самарканд Дарвоза",Шайхантахурский,3,68.0,2,4,45800,2,2
125,"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,1,30.0,4,4,24000,1,1
126,"город Ташкент, Учтепинский район, Чиланзар 14-й квартал",Учтепинский,1,52.0,1,4,58000,3,3
127,"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Чиланзарский,4,72.0,4,4,55500,3,3
128,"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Чиланзарский,4,76.0,2,4,68000,3,3
129,"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,2,48.0,4,4,31000,2,2
130,"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,2,66.0,3,9,47000,2,2
131,"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,3,60.0,3,5,47000,2,2
132,"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Чиланзарский,2,37.0,1,4,41000,2,2
133,"город Ташкент, Мирзо-Улугбекский район, Муминова",Мирзо-Улугбекский,1,40.0,3,4,24000,1,1
134,"город Ташкент, Юнусабадский район, Юнусабад 11-й квартал",Юнусабадский,2,61.0,1,4,55000,3,3
135,"город Ташкент, Чиланзарский район, Чиланзар 4-й квартал",Чиланзарский,1,32.0,2,4,28500,1,1
136,"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Чиланзарский,3,65.0,4,4,42000,2,2
137,"город Ташкент, Учтепинский район, Чупон-Ота",Учтепинский,3,66.0,2,5,67000,3,3
138,"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",Чиланзарский,3,70.0,4,4,46500,2,2
139,"город Ташкент, Чиланзарский район, Катта козиробод",Чиланзарский,3,66.0,4,4,50500,3,3
140,"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,3,65.0,1,4,40000,2,2
141,"город Ташкент, Яшнободский район, 1-й проезд Иззат",Яшнободский,1,37.0,5,8,13071,1,1
142,"город Ташкент, Мирзо-Улугбекский район, Алтынтепа",Мирзо-Улугбекский,2,69.65,4,9,45188,2,2
143,"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,4,88.0,4,5,53000,3,3
144,"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,1,38.0,2,5,25600,1,1
145,"город Ташкент, Мирабадский район, Госпитальный",Мирабадский,2,61.0,6,9,52000,3,3
146,"город Ташкент, Мирзо-Улугбекский район, Навнихол",Мирзо-Улугбекский,2,45.0,3,7,44000,2,2
147,"город Ташкент, Сергелийский район, Сергели-VII",Сергелийский,3,69.0,2,9,40000,2,2
148,"город Ташкент, Мирзо-Улугбекский район, Алтынтепа",Мирзо-Улугбекский,2,55.13,5,9,35226,2,2
149,"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,3,67.0,4,4,54000,3,3
150,"город Ташкент, Шайхантахурский район, 1-й проезд Генерала Узакова",Шайхантахурский,1,38.0,5,5,22500,1,1
151,"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,2,67.0,2,4,36500,2,2
152,"город Ташкент, Яккасарайский район, пр-т Бабура",Яккасарайский,2,54.0,4,9,40000,2,2
153,"город Ташкент, Чиланзарский район, Чиланзар квартал 20А",Чиланзарский,2,58.0,1,9,35000,2,2
154,"город Ташкент, Мирабадский район, Фидокор (Чехова) ",Мирабадский,4,100.0,5,8,142000,4,4
155,"город Ташкент, Чиланзарский район, Мукими",Чиланзарский,4,90.0,4,5,52000,3,3
156,"город Ташкент, Олмазорский район, ул  ХУРРИЯТ 75",Олмазорский,3,91.0,3,3,85000,4,4
157,"город Ташкент, Шайхантахурский район, 1-й проезд Лабзак",Шайхантахурский,4,111.0,7,8,110000,4,4
158,"город Ташкент, Сергелийский район, Сергели 6 А дом 9 кв 53",Сергелийский,2,54.0,6,7,36000,2,2
159,"город Ташкент, Яшнободский район, жилой комплекс У.М. Шахидов 58-й городок",Яшнободский,3,69.0,5,5,52000,3,3
160,"город Ташкент, Юнусабадский район, Юнусабад 14-й квартал",Юнусабадский,5,107.0,5,5,50000,2,2
161,"город Ташкент, Мирзо-Улугбекский район, Массив А. Югнакий",Мирзо-Улугбекский,3,80.0,2,5,55000,3,3
162,"город Ташкент, Юнусабадский район, Юнусабад 4 квартал",Юнусабадский,2,63.0,5,9,42000,2,2
163,"город Ташкент, Мирабадский район, Жемчуг",Мирабадский,3,74.0,5,16,69000,3,3
164,"город Ташкент, Яшнободский район, 40 лет тузел-3 Франция",Яшнободский,2,58.0,5,5,28900,1,1
165,"город Ташкент, Мирзо-Улугбекский район, Паркентский",Мирзо-Улугбекский,2,62.0,9,9,34000,2,2
166,"город Ташкент, Мирзо-Улугбекский район, жилой комплекс Goldhill",Мирзо-Улугбекский,3,107.0,2,8,85000,4,4
167,"город Ташкент, Олмазорский район, ТашПИ",Олмазорский,1,40.41,2,4,25000,1,1
168,"город Ташкент, Чиланзарский район, Мирзо Улуғбек метро",Чиланзарский,2,54.0,2,4,39000,2,2
169,"город Ташкент, Мирзо-Улугбекский район, ц-1 Буюк ипак йули (Ц-1) ",Мирзо-Улугбекский,1,40.0,1,4,60000,3,3
170,"город Ташкент, Мирзо-Улугбекский район, Дурмон йули",Мирзо-Улугбекский,2,50.0,1,5,36500,2,2
171,"город Ташкент, Яшнободский район, Мавлоно Риёзи",Яшнободский,3,75.0,5,9,42000,2,2
172,"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,3,84.0,7,8,85000,4,4
173,"город Ташкент, Мирзо-Улугбекский район, Ирригатор",Мирзо-Улугбекский,3,117.0,2,5,125000,4,4
174,"город Ташкент, Мирзо-Улугбекский район, Буз-2 (Буз) ",Мирзо-Улугбекский,3,70.0,5,5,37000,2,2
175,"город Ташкент, Мирзо-Улугбекский район, проспект Мустакиллик",Мирзо-Улугбекский,1,47.0,2,9,42000,2,2
176,"город Ташкент, Чиланзарский район, Чиланзар-17",Чиланзарский,2,56.0,2,5,36000,2,2
177,"город Ташкент, Чиланзарский район, Чиланзар-16",Чиланзарский,1,42.0,3,9,28000,1,1
178,"город Ташкент, Чиланзарский район",Чиланзарский,2,60.0,5,9,34000,2,2
179,"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,1,32.0,2,5,28500,1,1
180,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,42.0,2,5,28500,1,1
181,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,60.0,2,9,34500,2,2
182,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,54.0,1,4,34500,2,2
183,"город Ташкент, Чиланзарский район, Чиланзар-9",Чиланзарский,1,42.0,1,5,25500,1,1
184,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,60.0,2,9,43500,2,2
185,"город Ташкент, Мирабадский район, Афросиаб (пр-т Косманавтов) ",Мирабадский,2,72.0,7,9,63000,3,3
186,"город Ташкент, Яшнободский район, Городок Авиастроителей-4",Яшнободский,3,80.0,1,4,39999,2,2
187,"город Ташкент, Чиланзарский район, Кошчинар",Чиланзарский,1,33.0,2,4,24500,1,1
188,"город Ташкент, Юнусабадский район, Улица Янги Юнусобод",Юнусабадский,2,61.0,3,5,41000,2,2
189,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак Йули",Мирзо-Улугбекский,4,187.0,2,5,210000,4,4
190,"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,2,63.0,5,5,36000,2,2
191,"город Ташкент, Олмазорский район, Себзар",Олмазорский,2,60.0,5,5,34000,2,2
192,"город Ташкент, Чиланзарский район, Торговый центр",Чиланзарский,1,29.0,2,4,23000,1,1
193,"город Ташкент, Мирзо-Улугбекский район, Карасу 2-й квартал",Мирзо-Улугбекский,2,63.0,5,5,36000,2,2
194,"город Ташкент, Учтепинский район, Чиланзар 26-й квартал",Учтепинский,2,48.0,4,5,28500,1,1
195,"город Ташкент, Мирзо-Улугбекский район, Массив ТТЗ-4",Мирзо-Улугбекский,1,11.0,3,9,7500,1,1
196,"город Ташкент, Чиланзарский район, Корзинка",Чиланзарский,2,45.0,4,4,47000,2,2
197,"город Ташкент, Олмазорский район, обводная  Нурафшон",Олмазорский,4,122.0,5,5,95000,4,4
198,"город Ташкент, Юнусабадский район, Киёт",Юнусабадский,1,42.0,2,4,44000,2,2
199,"город Ташкент, Мирзо-Улугбекский район, Шастри",Мирзо-Улугбекский,2,50.0,1,4,45000,2,2
200,"город Ташкент, Мирзо-Улугбекский район, Феруза-1",Мирзо-Улугбекский,5,100.0,4,4,48000,2,2
201,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули (Луначарское) ",Мирзо-Улугбекский,2,60.0,4,4,32000,2,2
203,"город Ташкент, Яккасарайский район, Шота Руставели",Яккасарайский,2,50.0,2,4,47000,2,2
204,"город Ташкент, Мирзо-Улугбекский район, Дархан",Мирзо-Улугбекский,3,78.0,5,9,70500,3,3
205,"город Ташкент, Яккасарайский район, Яккасарой Тойхона 4/5/6 Новастройка Евро 164м2",Яккасарайский,4,164.0,5,6,170000,4,4
206,"город Ташкент, Мирзо-Улугбекский район, Хумаюн",Мирзо-Улугбекский,2,60.0,3,5,30500,2,2
207,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,42.0,2,4,26000,1,1
208,"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,3,70.0,4,4,37500,2,2
209,"город Ташкент, Чиланзарский район, Метро Мирзо Улугбек",Чиланзарский,1,35.0,1,5,26500,1,1
210,"город Ташкент, Чиланзарский район, Чиланзар-7",Чиланзарский,2,47.0,2,4,32000,2,2
211,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,36.0,2,5,26500,1,1
212,"город Ташкент, Чиланзарский район, Чиланзар-10",Чиланзарский,2,50.0,2,5,34500,2,2
213,"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,2,52.0,2,4,36500,2,2
214,"город Ташкент, Яшнободский район, Оханграбо",Яшнободский,2,46.0,2,4,24500,1,1
215,"город Ташкент, Чиланзарский район, Чиланзар-8",Чиланзарский,3,92.0,3,9,42500,2,2
216,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,3,70.0,1,4,46000,2,2
217,"город Ташкент, Юнусабадский район, Юнусабад 13-й квартал",Юнусабадский,3,70.0,2,4,38500,2,2
218,"город Ташкент, Мирзо-Улугбекский район, Паркентская (Генерала Петрова) ",Мирзо-Улугбекский,2,60.0,7,8,36000,2,2
219,"город Ташкент, Мирзо-Улугбекский район, Буз 2",Мирзо-Улугбекский,2,55.0,3,5,35000,2,2
220,"город Ташкент, Мирзо-Улугбекский район, Паркентская (Генерала Петрова) ",Мирзо-Улугбекский,2,63.0,4,9,55500,3,3
221,"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,2,89.0,4,12,81772,4,4
222,"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,1,55.0,1,12,50533,3,3
223,"город Ташкент, Мирзо-Улугбекский район, Ул.Кора Ниязова",Мирзо-Улугбекский,3,100.0,2,6,119000,4,4
224,"город Ташкент, Мирзо-Улугбекский район, Ахмад Югнаки",Мирзо-Улугбекский,4,208.0,2,3,93000,4,4
225,"город Ташкент, Чиланзарский район, Учтепинский район массив Чиланзар 11-й квартал",Чиланзарский,1,35.0,1,4,23800,1,1
226,"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,2,44.0,3,4,32900,2,2
227,"город Ташкент, Янгихаётский район, Сергели 9а",Янгихаётский,2,61.0,3,7,36000,2,2
228,"город Ташкент, Яшнободский район, Массив Риёзи",Яшнободский,4,100.0,2,9,65000,3,3
229,"город Ташкент, Чиланзарский район, Чиланзар 8 квартал",Чиланзарский,1,35.0,1,4,29800,1,1
230,"город Ташкент, Мирзо-Улугбекский район, Газалкент",Мирзо-Улугбекский,4,86.0,3,5,63000,3,3
231,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули (Луначарское) ",Мирзо-Улугбекский,3,100.0,1,5,80000,3,3
232,"город Ташкент, Олмазорский район, 1-й проезд Чилтугон",Олмазорский,5,110.0,5,5,63500,3,3
233,"город Ташкент, Мирабадский район, ЦУМ (Ц-7) ",Мирабадский,3,75.0,6,9,110000,4,4
234,"город Ташкент, Олмазорский район, ц-17, ц-18 Себзар (ц-17, ц-18) ",Олмазорский,3,70.0,1,5,62000,3,3
235,"город Ташкент, Шайхантахурский район, Караташ",Шайхантахурский,3,70.0,4,5,36999,2,2
236,"город Ташкент, Яккасарайский район, 1-й проезд Абдуллы Каххара",Яккасарайский,3,150.0,3,6,170000,4,4
237,"город Ташкент, Сергелийский район, 6А",Сергелийский,2,56.1,7,7,37000,2,2
238,"город Ташкент, Юнусабадский район, Юнусабад 16-й квартал",Юнусабадский,4,83.0,3,5,54000,3,3
239,"город Ташкент, Учтепинский район, Зангиота",Учтепинский,2,49.0,4,4,23000,1,1
240,"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,2,46.0,2,4,38500,2,2
241,"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,2,46.0,4,4,36200,2,2
242,"город Ташкент, Чиланзарский район, Чиланзар квартал Г9",Чиланзарский,3,68.0,4,4,45000,2,2
243,"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,3,65.0,1,5,45000,2,2
244,"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,4,76.0,4,4,43000,2,2
245,"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,1,42.0,2,5,26000,1,1
246,"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,2,55.0,1,4,67000,3,3
247,"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,4,76.0,5,5,45500,2,2
248,"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,2,49.0,2,6,47000,2,2
249,"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,4,80.0,2,4,70000,3,3
